Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
MH590054,Nowakowskiella crenulata,"culture from holotype of Nowakowskiella
                     crenulata",Yes,,CCIBt 4258,Brazil,20-Mar-2014,G.H. Jeronimo & C.L.A. Pires-Zottarelli,,,NCBI type_material qualifier,
MN161935,Nowamyces globulus,"culture from holotype of Nowamyces
                     globulus",Yes,,,Australia: VIC,,,,,NCBI type_material qualifier,
MN161944,Nowamyces piperitae,"culture from holotype of Nowamyces
                     piperitae",Yes,,,Australia: NSW,,,,,NCBI type_material qualifier,
PV082745,Nuciformispora araneicola,"culture from holotype of Nuciformispora
                     araneicola",Yes,,,China,17-Jul-2022,Wanhao Chen,,,NCBI type_material qualifier,
PV082747,Nuciformispora sinense,"culture from holotype of Nuciformispora
                     sinense",Yes,,,China,01-May-2022,Wanhao Chen,,,NCBI type_material qualifier,
PV082749,Nuciformispora vallise,"culture from holotype of Nuciformispora
                     vallise",Yes,,,China,04-Sep-2021,Wanhao Chen,,,NCBI type_material qualifier,
PV082751,Nuciformispora zunyiense,"culture from holotype of Nuciformispora
                     zunyiense",Yes,,,China,30-Sep-2023,Wanhao Chen,,,NCBI type_material qualifier,
MH327807,Nullicamyces eucalypti,"culture from holotype of Nullicamyces
                     eucalypti",Yes,,,Australia: New South Wales,,P.W. Crous,,,NCBI type_material qualifier,
OQ067089,Nyssopsora altissima,holotype of Nyssopsora altissima,Yes,,GMB0103,China: Guizhou,08-Jul-2021,,,,NCBI type_material qualifier,
MT712662,Nyssopsora toonae,holotype of Nyssopsora toonae,Yes,BHUISBSR1,AMH 10124,India,Dec-2018,Sanjay Yadav,,,NCBI type_material qualifier,
KY244090,Obba thailandica,type material of Obba thailandica,Yes,Dai16657,,Thailand,,,,,NCBI type_material qualifier,
MK050426,Oberwinklerozyma dicranopteridis,"holotype of Oberwinklerozyma
                     dicranopteridis",Yes,,,,,,,,NCBI type_material qualifier,
KY104386,Oberwinklerozyma silvestris,"type material of Oberwinklerozyma
                     silvestris",Yes,,,Russia,,,,,NCBI type_material qualifier,
GQ121045,Oberwinklerozyma silvestris,"type material of Oberwinklerozyma
                     silvestris",Yes,,,,,,,,NCBI type_material qualifier,
KY104387,Oberwinklerozyma straminea,"type material of Oberwinklerozyma
                     straminea",Yes,,,Russia,,,,,NCBI type_material qualifier,
EU872491,Oberwinklerozyma straminea,"type material of Oberwinklerozyma
                     straminea",Yes,,,,,,,,NCBI type_material qualifier,
KY104388,Oberwinklerozyma yarrowii,"culture from type material of Cryptococcus
                     yarrowii",Yes,,,Portugal,,,,,NCBI type_material qualifier,
AF444628,Oberwinklerozyma yarrowii,"culture from type material of Cryptococcus
                     yarrowii",Yes,,,,,,,,NCBI type_material qualifier,
MW981645,Obliquifusoideum guttulatum,"culture from holotype of Obliquifusoideum
                     guttulatum",Yes,hat138,,Thailand,10-May-2018,Wei Dong,,,NCBI type_material qualifier,
MW286507,Obliquiminima hyalina,"culture from holotype of Obliquiminima
                     hyalina",Yes,hat459,,Thailand,10-May-2018,W. Dong,,,NCBI type_material qualifier,
MH860060,Oblongisporothyrium castanopsidis,"type material of Actinopelte
                     castanopsidis",Yes,,,Japan,,,,,NCBI type_material qualifier,
MG591850,Oblongisporothyrium castanopsidis,"type material of Actinopelte
                     castanopsidis",Yes,,,Japan,,T. Yokoyama,,,NCBI type_material qualifier,
MG605066,Oblongisporothyrium castanopsidis,"type material of Actinopelte
                     castanopsidis",Yes,,,,,,,,NCBI type_material qualifier,
EU101312,Oblongocollomyces variabilis,holotype of Sphaeropsis variabilis,Yes,,PREM 59637,Namibia,,,,,NCBI type_material qualifier,
OR774878,Oblongocollomyces zhivanae,holotype of Oblongocollomyces zhivanae,Yes,,,"Australia: Queesland, Charters Towers",,,,,NCBI type_material qualifier,
MW820279,Obovoideisporodochium lithocarpi,"culture from holotype of
                     Obovoideisporodochium lithocarpi",Yes,,,China,,,,,NCBI type_material qualifier,
MT967435,Obscuroplaca tortuca,holotype of Phaeoplaca tortuca,Yes,,3644 (CDS 27462),Ecuador: Galapagos,,Bungartz,,,NCBI type_material qualifier,
KX698114,Occultibambusa aquatica,"culture from holotype of Occultibambusa
                     aquatica",Yes,,,Thailand,16-Nov-2010,Huang Zhang,,,NCBI type_material qualifier,
KU940123,Occultibambusa bambusae,holotype of Occultibambusa bambusae,Yes,,MFLU 15-1212,Thailand,09-Jul-2013,Dong-Qin Dai,,,NCBI type_material qualifier,
KU940125,Occultibambusa fusispora,holotype of Occultibambusa fusispora,Yes,,MFLU 11-0163,Thailand,29-Jun-2010,R. Phookamsak,,,NCBI type_material qualifier,
PV771000,Occultibambusa guizhouensis,holotype of Occultibambusa guizhouensis,Yes,,MHZU 25-0276,"China: Guizhou Province, Tongren City",15-Feb-2023,H.J. Zhao,,,NCBI type_material qualifier,
MZ329037,Occultibambusa hongheensis,holotype of Occultibambusa hongheensis,Yes,HONGHE012,,,28-Oct-2020,H.B. Jiang,,,NCBI type_material qualifier,
MT627716,Occultibambusa kunmingensis,holotype of Occultibambusa kunmingensis,Yes,HKAS 102151,,,,,,,NCBI type_material qualifier,
KU940126,Occultibambusa pustula,holotype of Occultibambusa pustula,Yes,,MFLU 15-1185,Thailand,19-Jul-2011,Dong-Qin Dai,,,NCBI type_material qualifier,
MN128423,Occultifur cladoniae,holotype of Microsporomyces cladoniae,Yes,,,Russia: Tyumen,,,,,NCBI type_material qualifier,
MK491195,Occultifur pisutianus,isotype of Lichenozyma pisutiana,Yes,SSB6A_CKV,4149,Sweden,,"J. Steinova, I. Cernajova",,,NCBI type_material qualifier,
MN128424,Occultifur wangii,holotype of Occultifur wangii,Yes,,,Russia: Nadym,,,,,NCBI type_material qualifier,
OR438427,Occultitheca ananasi,holotype of Occultitheca ananasi,Yes,,MFLU:23-0251,Thailand,18-Oct-2020,Xing-Guo Tian,,,NCBI type_material qualifier,
MW240672,Occultitheca rosae,holotype of Occultitheca rosae,Yes,,HKAS 102393,China,17-Jun-2018,MC. Samarakoon,,,NCBI type_material qualifier,
JF779849,Occultocarpon ailaoshanense,holotype of Occultocarpon ailaoshanense,Yes,,BPI 879253,China: Yunnan,,,,,NCBI type_material qualifier,
MT967415,Oceanoplaca chemoisidiosa,holotype of Oceanoplaca chemoisidiosa,Yes,,6417 (CDS 34632),Ecuador: Galapagos,,Bungartz,,,NCBI type_material qualifier,
MT967427,Oceanoplaca sideritoides,holotype of Oceanoplaca sideritoides,Yes,,6516 (CDS 34733),Ecuador: Galapagos,,Bungartz,,,NCBI type_material qualifier,
OP377835,Ocellisimilis clavata,holotype of Ocellisimilis clavata,Yes,18C-21,GZAAS:20-0393,China,,L.L. Liu,,,NCBI type_material qualifier,
MN516753,Ochraceocephala foeniculi,holotype of Ochraceocephala foeniculi,Yes,,WU:40034,Italy,,,,,NCBI type_material qualifier,
KF777176,Ochrocladosporium adansoniae,"culture from holotype of Ochrocladosporium
                     adansoniae",Yes,,,"South Africa: Limpopo Province, Muswodi
                     village, Venda",,E. Cruywagen,,,NCBI type_material qualifier,
EU040234,Ochrocladosporium frigidarii,holotype of Ochrocladosporium frigidarii,Yes,,,Germany,,,,,NCBI type_material qualifier,
MH861307,Ochrocladosporium frigidarii,holotype of Ochrocladosporium frigidarii,Yes,,,Germany,,,,,NCBI type_material qualifier,
KU564071,Ochronectria thailandica,"culture from holotype of Ochronectria
                     thailandica",Yes,,,Thailand,,Qiuju Shang,,,NCBI type_material qualifier,
KU886152,Ochrosporellus hymenonitens,holotype of Inonotus hymenonitens,Yes,,SMDB 14733,Brazil,23-Sep-2011,G. Coelho,,,NCBI type_material qualifier,
JN257997,Octaviania celatifilia,holotype of Octaviania celatifilia,Yes,,KPM-NC-0017776,Japan: Nara Pref.,,,,,NCBI type_material qualifier,
JN257991,Octaviania decimae,holotype of Octaviania decimae,Yes,,KPM-NC-0017763,Japan: Kyoto Pref,,,,,NCBI type_material qualifier,
JQ619177,Octaviania durianelloides,holotype of Octaviania durianelloides,Yes,,KPM-NC-0017829,Japan: Kanagawa Pref.,,,,,NCBI type_material qualifier,
JQ619182,Octaviania etchuensis,holotype of Octaviania etchuensis,Yes,,KPM-NC-0017822,Japan: Toyama Pref.,,,,,NCBI type_material qualifier,
JQ619173,Octaviania hesperi,holotype of Octaviania hesperi,Yes,,KPM-NC-0017793,Japan: Kanagawa Pref.,,,,,NCBI type_material qualifier,
JN257986,Octaviania nonae,holotype of Octaviania nonae,Yes,,KPM-NC-0017749,"Japan: Kagoshima Pref., Amami-oshima Isl.",,,,,NCBI type_material qualifier,
MT934808,Octaviania tenuipes,holotype of Octaviania tenuipes,Yes,,KPM-NC 27972,Japan: Miyazaki Prerecture,,T. Orihara,,,NCBI type_material qualifier,
MT934800,Octaviania tomentosa,holotype of Octaviania tomentosa,Yes,,KPM-NC 27954,Japan: Ibaraki Prefecture,,M. Ohmae,,,NCBI type_material qualifier,
JQ619180,Octaviania yaeyamaensis,holotype of Octaviania yaeyamaensis,Yes,,KPM-NC-0017819,"Japan: Okinawa Pref., Ishigaki Isl.",,,,,NCBI type_material qualifier,
MG934456,Oculimacula yallundae,culture from epitype of Tapesia yallundae,Yes,,,South Africa,,F. Bester,,,NCBI type_material qualifier,
MW810278,Oculimacula yallundae,culture from epitype of Tapesia yallundae,Yes,,,"South Africa: Western Cape Province,
                     Moorreesburg",,F. Bester,,,NCBI type_material qualifier,
PQ404911,Odentinium aurantium,holotype of Odentinium aurantium,Yes,,CLZhao 20737,China,,Changlin Zhao,,,NCBI type_material qualifier,
PQ404906,Odentinium cremeum,holotype of Odentinium cremeum,Yes,,CLZhao 20573,China,,Changlin Zhao,,,NCBI type_material qualifier,
MW033326,Odontia huanrenensis,holotype of Odontia huanrenensis,Yes,,Yuan10663_Odontia_huanrenensis,,,,,,NCBI type_material qualifier,
MW033328,Odontia parvispina,holotype of Odontia parvispina,Yes,,Yuan10652_Odontia_parvispina,,,,,,NCBI type_material qualifier,
JX905539,Odontochytrium milleri,type material of Odontochytrium milleri,Yes,ARG 095,U. BA ARG 095,,,,,,NCBI type_material qualifier,
KY104390,Ogataea allantospora,type material of Ogataea allantospora,Yes,,,Hungary,,,,,NCBI type_material qualifier,
KY104391,Ogataea angusta,"culture from type material of Hansenula
                     angusta",Yes,,,USA,,,,,NCBI type_material qualifier,
JF756588,Ogataea angusta,"culture from type material of Hansenula
                     angusta",Yes,,,,,,,,NCBI type_material qualifier,
KY104392,Ogataea cecidiorum,type material of Ogataea cecidiorum,Yes,,,Russia,,,,,NCBI type_material qualifier,
KY104393,Ogataea chonburiensis,type material of Ogataea chonburiensis,Yes,,,Thailand,,,,,NCBI type_material qualifier,
FJ914924,Ogataea chonburiensis,"culture from type material of Ogataea
                     chonburiensis",Yes,,,,,,,,NCBI type_material qualifier,
KC252610,Ogataea deakii,holotype of Ogataea deakii,Yes,,,,,,,,NCBI type_material qualifier,
MG986489,Ogataea degrootiae,holotype of Ogataea degrootiae,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
KY104394,Ogataea dorogensis,type material of Ogataea dorogensis,Yes,,,Hungary,,,,,NCBI type_material qualifier,
KY104395,Ogataea falcaomoraisii,type material of Ogataea falcaomoraisii,Yes,,,Brazil,,,,,NCBI type_material qualifier,
KY104396,Ogataea ganodermae,type material of Ogataea ganodermae,Yes,,,China,,,,,NCBI type_material qualifier,
EU117202,Ogataea ganodermae,type material of Ogataea ganodermae,Yes,,,,,,,,NCBI type_material qualifier,
KY104397,Ogataea glucozyma,type material of Hansenula glucozyma,Yes,,,USA,,,,,NCBI type_material qualifier,
KY492390,Ogataea haglerorum,holotype of Ogataea haglerorum,Yes,,,"USA: Eastern Saguaro National Monument, AZ",,,,,NCBI type_material qualifier,
KY104399,Ogataea henricii,type material of Hansenula henricii,Yes,,,USA,,,,,NCBI type_material qualifier,
KY104400,Ogataea kodamae,type material of Pichia kodamae,Yes,,,South Africa,,,,,NCBI type_material qualifier,
KY104401,Ogataea kolombanensis,"culture from holotype of Ogataea
                     kolombanensis",Yes,,,Slovenia,,Neza Cadez,,,NCBI type_material qualifier,
KY104403,Ogataea methanolica,"culture from type material of Pichia
                     methanolica",Yes,,,Japan,,,,,NCBI type_material qualifier,
KY104409,Ogataea methylovora,type material of Candida cariosilignicola,Yes,,,Japan,,,,,NCBI type_material qualifier,
KY104408,Ogataea methylovora,type material of Pichia methylovora,Yes,,,Japan,,,,,NCBI type_material qualifier,
KY102209,Ogataea minuta,"type material of Torulopsis
                     methanolovescens",Yes,,,Japan,,,,,NCBI type_material qualifier,
KY104410,Ogataea naganishii,type material of Pichia naganishii,Yes,,,Japan,,,,,NCBI type_material qualifier,
FJ914925,Ogataea nakhonphanomensis,"culture from type material of Ogataea
                     nakhonphanomensis",Yes,,,,,,,,NCBI type_material qualifier,
KY213810,Ogataea neixiangensis,holotype of Ogataea neixiangensis,Yes,,,,,,,,NCBI type_material qualifier,
EU327036,Ogataea nitratoaversa,"culture from holotype of Ogataea
                     nitratoaversa",Yes,,,,,,,,NCBI type_material qualifier,
KY104412,Ogataea nitratoaversa,type material of Ogataea nitratoaversa,Yes,,,Hungary,,,,,NCBI type_material qualifier,
KY104413,Ogataea nonfermentans,type material of Hansenula nonfermentans,Yes,,,USA,,,,,NCBI type_material qualifier,
MF574035,Ogataea nonfermentans,type material of Hansenula nonfermentans,Yes,,,USA,,,,,NCBI type_material qualifier,
KY104414,Ogataea paradorogensis,type material of Ogataea paradorogensis,Yes,,,Japan,,,,,NCBI type_material qualifier,
KY213805,Ogataea paraovalis,holotype of Ogataea paraovalis,Yes,,,,,,,,NCBI type_material qualifier,
JF756590,Ogataea parapolymorpha,holotype of Candida parapolymorpha,Yes,,,,,,,,NCBI type_material qualifier,
FJ914922,Ogataea parapolymorpha,holotype of Candida parapolymorpha,Yes,,,,,,,,NCBI type_material qualifier,
JF756591,Ogataea parapolymorpha,type material of Ogataea parapolymorpha,Yes,,,,,,,,NCBI type_material qualifier,
KY104415,Ogataea parapolymorpha,type material of Ogataea parapolymorpha,Yes,,,,,,,,NCBI type_material qualifier,
KY104419,Ogataea philodendri,"culture from type material of Hansenula
                     philodendri",Yes,,,South Africa,,,,,NCBI type_material qualifier,
KY104421,Ogataea phyllophila,type material of Ogataea phyllophila,Yes,,,Thailand,,,,,NCBI type_material qualifier,
KY104422,Ogataea pignaliae,type material of Ogataea pignaliae,Yes,,,France,,,,,NCBI type_material qualifier,
KY104423,Ogataea pilisensis,type material of Ogataea pilisensis,Yes,,,Hungary,,,,,NCBI type_material qualifier,
EU327035,Ogataea pilisensis,type material of Ogataea pilisensis,Yes,,,,,,,,NCBI type_material qualifier,
EU117199,Ogataea pini,type material of Zygosaccharomyces pini,Yes,,,,,,,,NCBI type_material qualifier,
KY104429,Ogataea pini,type material of Zygosaccharomyces pini,Yes,,,USA,,,,,NCBI type_material qualifier,
KY104435,Ogataea polymorpha,"culture from type material of Hansenula
                     polymorpha",Yes,,,Brazil,,,,,NCBI type_material qualifier,
JF756589,Ogataea polymorpha,"culture from type material of Hansenula
                     polymorpha",Yes,,,,,,,,NCBI type_material qualifier,
KT694022,Ogataea polymorpha,"culture from type material of Hansenula
                     polymorpha",Yes,,,,,,,,NCBI type_material qualifier,
FJ914915,Ogataea polymorpha,"culture from type material of Hansenula
                     polymorpha",Yes,,,,,,,,NCBI type_material qualifier,
KY104440,Ogataea populi-albae,type material of Ogataea populi-albae,Yes,,,Hungary,,,,,NCBI type_material qualifier,
KY104442,Ogataea ramenticola,type material of Pichia ramenticola,Yes,,,USA,,,,,NCBI type_material qualifier,
KY104443,Ogataea salicorniae,type material of Williopsis salicorniae,Yes,,,France,,,,,NCBI type_material qualifier,
Z93890,Ogataea salicorniae,type material of Williopsis salicorniae,Yes,,,,,,,,NCBI type_material qualifier,
Z93889,Ogataea salicorniae,type material of Williopsis salicorniae,Yes,,,,,,,,NCBI type_material qualifier,
JF430477,Ogataea saltuana,holotype of Ogataea saltuana,Yes,,,,,,,,NCBI type_material qualifier,
FJ914926,Ogataea siamensis,"culture from type material of Pichia
                     siamensis",Yes,,,,,,,,NCBI type_material qualifier,
KY104444,Ogataea siamensis,type material of Pichia siamensis,Yes,,,Thailand,,,,,NCBI type_material qualifier,
KY104446,Ogataea trehaloabstinens,type material of Pichia trehaloabstinens,Yes,,,Hungary,,,,,NCBI type_material qualifier,
KY104447,Ogataea trehalophila,type material of Pichia trehalophila,Yes,,,USA,,,,,NCBI type_material qualifier,
KY104449,Ogataea wickerhamii,type material of Hansenula wickerhamii,Yes,,,Finland,,,,,NCBI type_material qualifier,
JX546582,Ogataea wickerhamii,type material of Hansenula wickerhamii,Yes,,,Finland,,A. Capriotti,,,NCBI type_material qualifier,
KY104451,Ogataea zsoltii,type material of Ogataea zsoltii,Yes,,,Hungary,,,,,NCBI type_material qualifier,
MH859334,Oidiodendron chlamydosporicum,"type material of Oidiodendron
                     chlamydosporicum",Yes,,,Canada: Saskatchewan,,,,,NCBI type_material qualifier,
AF081430,Oidiodendron chlamydosporicum,"culture from type material of Oidiodendron
                     chlamydosporicum",Yes,,,,,,,,NCBI type_material qualifier,
AF062789,Oidiodendron chlamydosporicum,"culture from type material of Oidiodendron
                     chlamydosporicum",Yes,,,,,,,,NCBI type_material qualifier,
AF062790,Oidiodendron citrinum,"culture from type material of Oidiodendron
                     citrinum",Yes,,,,,,,,NCBI type_material qualifier,
AF081419,Oidiodendron citrinum,"culture from type material of Oidiodendron
                     citrinum",Yes,,,,,,,,NCBI type_material qualifier,
MH327803,Oidiodendron eucalypti,"culture from holotype of Oidiodendron
                     eucalypti",Yes,,,Australia: New South Wales,,P.W. Crous,,,NCBI type_material qualifier,
AF062807,Oidiodendron fuscum,type material of Oidiodendron fuscum,Yes,,,,,,,,NCBI type_material qualifier,
MH855197,Oidiodendron fuscum,type material of Oidiodendron fuscum,Yes,,,Norway,,,,,NCBI type_material qualifier,
AF062798,Oidiodendron maius,"culture from type material of Oidiodendron
                     maius",Yes,,,,,,,,NCBI type_material qualifier,
AF081422,Oidiodendron maius,"culture from type material of Oidiodendron
                     maius",Yes,,,,,,,,NCBI type_material qualifier,
MH859331,Oidiodendron periconioides,"type material of Oidiodendron
                     periconioides",Yes,,,Canada: Saskatchewan,,,,,NCBI type_material qualifier,
AF062805,Oidiodendron setiferum,"culture from type material of Oidiodendron
                     setiferum",Yes,,,,,,,,NCBI type_material qualifier,
AF062809,Oidiodendron truncatum,"culture from type material of Oidiodendron
                     truncatum",Yes,,,,,,,,NCBI type_material qualifier,
OQ798957,Okeanomyces guttulatus,"culture from holotype of Okeanomyces
                     guttulatus",Yes,,,China,Sep-2020,M. Li and Z. F. Zhang,,,NCBI type_material qualifier,
MT066116,Okeanomyces marinus,holotype of Okeanomyces marinus,Yes,,MFLU 20-0202,Thailand,05-May-2019,Mark S. Calabon,,,NCBI type_material qualifier,
OR253084,Oleaginea sichuanensis,holotype of Oleaginea sichuanensis,Yes,35,HKAS 127167,China,30-Jan-2021,W.L. Li,,,NCBI type_material qualifier,
KF309973,Oleoguttula mirabilis,"culture from holotype of Oleoguttula
                     mirabilis",Yes,,,,,,,,NCBI type_material qualifier,
AY046196,Oligophagozyma castellii,type material of Torulopsis castellii,Yes,,,,,,,,NCBI type_material qualifier,
KY102024,Oligophagozyma castellii,type material of Torulopsis castellii,Yes,,,Finland,,,,,NCBI type_material qualifier,
MW937877,Oligoporus podocarpi,holotype of Oligoporus podocarpi,Yes,,Dai22042,China,,,,,NCBI type_material qualifier,
AY997067,Olpidium brassicae,"reference material of Chytridium
                     brassicae",Yes,AFTOL-ID 633,,,,,,,NCBI type_material qualifier,
JX134674,Omnidemptus affinis,type material of Omnidemptus affinis,Yes,,,,,,,,NCBI type_material qualifier,
MK487757,Omnidemptus affinis,"culture from holotype of Omnidemptus
                     affinis",Yes,,,Australia,,,,,NCBI type_material qualifier,
PV138746,Omnidemptus dicranopteridis,"culture from holotype of Omnidemptus
                     dicranopteridis",Yes,299-3,KUN-HKAS:129909,China,17-Mar-2022,Jing-Yi Zhang,,,NCBI type_material qualifier,
MW478963,Omnidemptus graminicola,holotype of Omnidemptus graminicola,Yes,,,,,,,,NCBI type_material qualifier,
MK487758,Omnidemptus graminis,"culture from holotype of Omnidemptus
                     graminis",Yes,,,Spain,,,,,NCBI type_material qualifier,
MW478954,Omnidemptus paragraminis,holotype of Omnidemptus paragraminis,Yes,,,,,,,,NCBI type_material qualifier,
MW478964,Omnidemptus yunnanensis,holotype of Omnidemptus yunnanensis,Yes,,,,,,,,NCBI type_material qualifier,
MW478959,Omnidemptus zhejiangensis,holotype of Omnidemptus zhejiangensis,Yes,,,,,,,,NCBI type_material qualifier,
ON723778,Omphalina licheniformis,holotype of Omphalina licheniformis,Yes,,,,,,,,NCBI type_material qualifier,
OM677247,Onnia himalayana,holotype of Onnia himalayana,Yes,,Dai 22620,,,,,,NCBI type_material qualifier,
MG397042,Onnia kesiya,holotype of Onnia kesiya,Yes,,,,,Yu-Cheng Dai,,,NCBI type_material qualifier,
JX017310,Oontomyces anksri,type material of Oontomyces anksri,Yes,,,,,,,,NCBI type_material qualifier,
KY104452,Oosporidium margaritiferum,"type material of Trichosporon
                     margaritiferum",Yes,,,,,,,,NCBI type_material qualifier,
DQ485617,Operculomyces laminatus,"culture from holotype of Operculomyces
                     laminatus",Yes,,,,,,,,NCBI type_material qualifier,
MG520939,Ophiobolopsis italica,holotype of Ophiobolopsis italica,Yes,,MFLU 17-0924,Italy,29-May-2013,E. Camporesi,,,NCBI type_material qualifier,
MG828930,Ophiobolus artemisiicola,holotype of Ophiobolus artemisiicola,Yes,,,Russia,21-May-2015,Timur S. Bulgakov,,,NCBI type_material qualifier,
MG520941,Ophiobolus disseminans,epitype of Ophiobolus disseminans,Yes,,MFLU 15-2257,Italy,11-Jun-2014,E. Camporesi,,,NCBI type_material qualifier,
MK981301,Ophiobolus hydei,holotype of Ophiobolus hydei,Yes,YG-S82-2,TASM 6143,Uzbekistan,14-May-2016,Yusufjon Gafforov,,,NCBI type_material qualifier,
KY496747,Ophiobolus italicus,"culture from holotype of Entodesmium
                     italicum",Yes,,,Italy,14-May-2014,Erio Camporesi,,,NCBI type_material qualifier,
MK356377,Ophiobolus malleolus,"culture from holotype of Ophiobolus
                     malleolus",Yes,,T-526,Russia,28-Jun-2015,T.S. Bulgakov,,,NCBI type_material qualifier,
MH399730,Ophiobolus malleolus,holotype of Ophiobolus malleolus,Yes,MFLUCC 15-1077,MFLU 15-2230,,28-Jun-2015,Timur S. Bulgakov,,,NCBI type_material qualifier,
MG520944,Ophiobolus rossicus,holotype of Ophiobolus rossicus,Yes,,MFLU 17-1639,Russia,03-Jun-2016,T.S. Bulgakov,,,NCBI type_material qualifier,
KT728365,Ophiobolus senecionis,"culture from holotype of Premilcurensis
                     senecionis",Yes,IT-1310,,Italy,,E. Camporesi,,,NCBI type_material qualifier,
JQ797440,Ophioceras aquaticum,"culture from holotype of Ophioceras
                     aquaticum",Yes,,,China,,Dian-Ming Hu,,,NCBI type_material qualifier,
OR589313,Ophioceras aseptatum,"culture from holotype of Ophioceras
                     aseptatum",Yes,,,China: Yunnan,Feb-2022,Wen-Peng Wang,,,NCBI type_material qualifier,
OR589314,Ophioceras cylindrosporum,"culture from holotype of Ophioceras
                     cylindrosporum",Yes,,,China: Yunnan,Feb-2022,Wen-Peng Wang,,,NCBI type_material qualifier,
MZ064408,Ophioceras freycinetiae,"culture from holotype of Ophioceras
                     freycinetiae",Yes,,,New Zealand,,C. Inglis,,,NCBI type_material qualifier,
MW479093,Ophioceras graminis,holotype of Ophioceras graminis,Yes,,,,,,,,NCBI type_material qualifier,
OR225057,Ophioceras guizhouensis,holotype of Ophioceras guizhouensis,Yes,,MFLU 18-2277,China,18-Jul-2016,Jinfeng Zhang,,,NCBI type_material qualifier,
OK664750,Ophioceras junci,culture from holotype of Ophioceras junci,Yes,,,Netherlands: Utrecht Province,,E.R. Osieck,,,NCBI type_material qualifier,
MH859997,Ophioceras leptosporum,"culture from isotype of Gaeumannomyces
                     leptosporus",Yes,,,United Kingdom: England,,,,,NCBI type_material qualifier,
JX134678,Ophioceras leptosporum,"culture from isotype of Gaeumannomyces
                     leptosporus",Yes,,,,,,,,NCBI type_material qualifier,
OP377882,Ophioceras thailandense,holotype of Ophioceras thailandense,Yes,YJ-13,MFLU:15-1138,Thailand,,J. Yang,,,NCBI type_material qualifier,
PV139217,Ophiocordyceps anocheti,holotype of Ophiocordyceps anocheti,Yes,,HKAS 132231,China,17-May-2023,,,,NCBI type_material qualifier,
MW285708,Ophiocordyceps asiana,holotype of Ophiocordyceps asiana,Yes,BCC 84234,BBH42268,Thailand,,,,,NCBI type_material qualifier,
MH754722,Ophiocordyceps asiatica,"culture from holotype of Ophiocordyceps
                     asiatica",Yes,,,,,,,,NCBI type_material qualifier,
MH754734,Ophiocordyceps brunneirubra,"culture from holotype of Ophiocordyceps
                     brunneirubra",Yes,,,,,,,,NCBI type_material qualifier,
MT783955,Ophiocordyceps campes,"culture from holotype of Ophiocordyceps
                     campes",Yes,,,Thailand,,,,,NCBI type_material qualifier,
MG553635,Ophiocordyceps cylindrospora,holotype of Ophiocordyceps cylindrospora,Yes,,MFLU 17-1961,Thailand: Chiang Mai,19-Jun-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
OQ110574,Ophiocordyceps duyunensis,holotype of Ophiocordyceps duyunensis,Yes,,HKAS 125850,China: Guizhou,20-May-2021,Xing-Can Peng,,,NCBI type_material qualifier,
OR527535,Ophiocordyceps fenggangensis,holotype of Ophiocordyceps fenggangensis,Yes,,HKAS125848,China: Guizhou,28-Apr-2021,Xing-Can Peng,,,NCBI type_material qualifier,
PV170895,Ophiocordyceps floriformis,holotype of Ophiocordyceps floriformis,Yes,,,Thailand,03-Oct-2022,,,,NCBI type_material qualifier,
MH725816,Ophiocordyceps globiceps,holotype of Ophiocordyceps globiceps,Yes,,MFLU 18-0661,Thailand,19-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
MH725815,Ophiocordyceps globiceps,"culture from holotype of Ophiocordyceps
                     globiceps",Yes,,MFLUCC 18-0495,Thailand,19-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
OR015963,Ophiocordyceps globiperitheciata,"holotype of Ophiocordyceps
                     globiperitheciata",Yes,,HKAS 126130,China: Yunnan Prov.,,T.Yang,,,NCBI type_material qualifier,
MF398185,Ophiocordyceps issidarum,holotype of Ophiocordyceps issidarum,Yes,,MFLU 17-0751,Thailand,19-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
PP951447,Ophiocordyceps keqinii,holotype of Ophiocordyceps keqinii,Yes,,HKAS135614,,19-Jul-2017,,,,NCBI type_material qualifier,
MH754728,Ophiocordyceps khokpasiensis,"culture from holotype of Ophiocordyceps
                     khokpasiensis",Yes,,,,,,,,NCBI type_material qualifier,
MK632030,Ophiocordyceps kobayasii,"culture from holotype of Ophiocordyceps
                     kobayasii",Yes,,,Thailand,,,,,NCBI type_material qualifier,
ON763786,Ophiocordyceps laotii,"culture from holotype of Ophiocordyceps
                     laotii",Yes,BCC 76495,,Thailand,,,,,NCBI type_material qualifier,
OR527536,Ophiocordyceps liangii,holotype of Ophiocordyceps liangii,Yes,,HKAS125845,China: Guizhou,12-Jul-2022,Xing-Can Peng,,,NCBI type_material qualifier,
MT783956,Ophiocordyceps longistromata,"culture from holotype of Ophiocordyceps
                     longistromata",Yes,,,Thailand,,,,,NCBI type_material qualifier,
