Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
KY102055,Candida dubliniensis,"culture from type material of Candida
                     dubliniensis",Yes,,,Ireland,,,,,NCBI type_material qualifier,
U96719,Candida dubliniensis,"culture from type material of Candida
                     dubliniensis",Yes,,,,,,,,NCBI type_material qualifier,
MH545916,Candida dubliniensis,"culture from type material of Candida
                     dubliniensis",Yes,,,,,,,,NCBI type_material qualifier,
EF658666,Candida frijolesensis,holotype of Candida frijolesensis,Yes,,,,,,,,NCBI type_material qualifier,
KY102102,Candida gigantensis,"culture from holotype of Candida
                     gigantensis",Yes,,,Panama,,,,,NCBI type_material qualifier,
KF680226,Candida hyderabadensis,type material of Candida hyderabadensis,Yes,,,,,,,,NCBI type_material qualifier,
GU291261,Candida jiufengensis,"culture from holotype of Candida
                     jiufengensis",Yes,,,,,,,,NCBI type_material qualifier,
EU402936,Candida jiufengensis,"culture from holotype of Candida
                     jiufengensis",Yes,,,,,,,,NCBI type_material qualifier,
FJ623629,Candida labiduridarum,"culture from type material of Candida
                     labiduridarum",Yes,,,,,,,,NCBI type_material qualifier,
EF658664,Candida labiduridarum,holotype of Candida labiduridarum,Yes,,,,,,,,NCBI type_material qualifier,
KY102176,Candida labiduridarum,"culture from holotype of Candida
                     labiduridarum",Yes,,,USA,,,,,NCBI type_material qualifier,
KY102186,Candida maltosa,type material of Candida maltosa,Yes,,,Japan,,,,,NCBI type_material qualifier,
AY936521,Candida maltosa,type material of Candida maltosa,Yes,,,,,,,,NCBI type_material qualifier,
KJ722418,Candida maltosa,type material of Candida maltosa,Yes,,,,,,,,NCBI type_material qualifier,
KJ722417,Candida maltosa,type material of Candida maltosa,Yes,,,,,,,,NCBI type_material qualifier,
AY936522,Candida maltosa,type material of Candida maltosa,Yes,,,,,,,,NCBI type_material qualifier,
KU128708,Candida margitis,culture from holotype of Candida margitis,Yes,,,,,,,,NCBI type_material qualifier,
KF313194,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,,,,,,NCBI type_material qualifier,
KC777380,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,,,,,,NCBI type_material qualifier,
FJ872019,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,,,,,,NCBI type_material qualifier,
KY102203,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,USA,,,,,NCBI type_material qualifier,
OR352206,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,India,,,,,NCBI type_material qualifier,
MK394127,Candida metapsilosis,"culture from type material of Candida
                     metapsilosis",Yes,,,,,,,,NCBI type_material qualifier,
MK394121,Candida neerlandica,type material of Candida neerlandica,Yes,,,,,,,,NCBI type_material qualifier,
KY102226,Candida neerlandica,type material of Candida neerlandica,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
EF658662,Candida neerlandica,"culture from holotype of Candida
                     neerlandica",Yes,,,,,,,,NCBI type_material qualifier,
FJ746064,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KF313193,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,,,,,,,,NCBI type_material qualifier,
FJ545241,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,PG19,,,,,,,NCBI type_material qualifier,
FJ872018,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,,,,,,,,NCBI type_material qualifier,
MK394126,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KY102273,Candida orthopsilosis,type material of Candida orthopsilosis,Yes,,,USA,,,,,NCBI type_material qualifier,
KY102281,Candida oxycetoniae,"culture from holotype of Candida
                     oxycetoniae",Yes,,,China,,,,,NCBI type_material qualifier,
EU402934,Candida oxycetoniae,holotype of Candida oxycetoniae,Yes,,,,,,,,NCBI type_material qualifier,
GU291262,Candida oxycetoniae,"culture from holotype of Candida
                     oxycetoniae",Yes,,,,,,,,NCBI type_material qualifier,
MG255731,Candida parablackwelliae,holotype of Candida parablackwelliae,Yes,,,China,,,,,NCBI type_material qualifier,
KP054272,Candida parachauliodes,"culture from holotype of Candida
                     parachauliodes",Yes,,,,,,,,NCBI type_material qualifier,
FJ872015,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
EF108256,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KU729052,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KX833099,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
AY939798,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
FJ153210,Candida parapsilosis,type material of Monilia parapsilosis,Yes,Lee752,,,,,,,NCBI type_material qualifier,
AY217022,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
AY217021,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KF313185,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
AY391843,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
AY207079,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
AY207072,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KT694025,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
FJ872016,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
MW284509,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
MK394125,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
OL351348,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KY102290,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,Puerto Rico,,,,,NCBI type_material qualifier,
OR941244,Candida parapsilosis,type material of Monilia parapsilosis,Yes,H0Y1-6,,Indonesia,2021,,,,NCBI type_material qualifier,
MH545914,Candida parapsilosis,type material of Monilia parapsilosis,Yes,,,,,,,,NCBI type_material qualifier,
KY102345,Candida pseudojiufengensis,"culture from holotype of Candida
                     pseudojiufengensis",Yes,,,China,,,,,NCBI type_material qualifier,
EU402938,Candida pseudojiufengensis,"culture from holotype of Candida
                     pseudojiufengensis",Yes,,,,,,,,NCBI type_material qualifier,
GU291263,Candida pseudojiufengensis,"culture from holotype of Candida
                     pseudojiufengensis",Yes,,,,,,,,NCBI type_material qualifier,
JQ647915,Candida sanyaensis,"culture from holotype of Candida
                     sanyaensis",Yes,HN-26,,China,,,,,NCBI type_material qualifier,
KY102390,Candida saraburiensis,"culture from holotype of Candida
                     saraburiensis",Yes,,,Thailand,,,,,NCBI type_material qualifier,
KY102400,Candida sojae,culture from holotype of Candida sojae,Yes,,,Japan,,,,,NCBI type_material qualifier,
MK394120,Candida sojae,culture from holotype of Candida sojae,Yes,,,,,,,,NCBI type_material qualifier,
KJ722419,Candida sojae,culture from holotype of Candida sojae,Yes,,,,,,,,NCBI type_material qualifier,
JQ647916,Candida sojae,culture from holotype of Candida sojae,Yes,,,,,,,,NCBI type_material qualifier,
FJ623630,Candida tetrigidarum,"culture from type material of Candida
                     tetrigidarum",Yes,,,,,,,,NCBI type_material qualifier,
KY102438,Candida tetrigidarum,"culture from holotype of Candida
                     tetrigidarum",Yes,,,China,,,,,NCBI type_material qualifier,
KY102442,Candida theae,"culture from type material of Candida
                     theae",Yes,,,Taiwan,,,,,NCBI type_material qualifier,
JQ812707,Candida theae,"culture from type material of Candida
                     theae",Yes,,,,,,,,NCBI type_material qualifier,
HM461737,Candida theae,holotype of Candida theae,Yes,CB028,,,,,,,NCBI type_material qualifier,
KU729064,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AY939810,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AY282528,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AY207080,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AY282527,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AY207073,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AF335928,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
AF218992,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
KJ651200,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
