accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
NR_198007,Melanoleuca grammopodia,epitype,high,GenBank /type_material qualifier,epitype of Agaricus grammopodius,BRNM:761800,KP192272,yes,1,NR_198007.1 Melanoleuca grammopodia specimen_voucher BRNM 761800 epitype Melanoleuca grammopodia,https://www.ncbi.nlm.nih.gov/nuccore/NR_198007
NR_198013,Morchella laurentiana,holotype,high,GenBank /type_material qualifier,holotype of Morchella laurentiana,NRRL:66317,KT819378,yes,1,NR_198013 Morchella laurentiana,https://www.ncbi.nlm.nih.gov/nuccore/NR_198013
NR_198015,Fomitopsis kuzyana,epitype,high,GenBank /type_material qualifier,epitype of Trametes kuzyana,H:Vlasak9310_24,KU866246,yes,1,NR_198015 Fomitopsis kuzyana H:Vlasak9310_24 Slovakia,https://www.ncbi.nlm.nih.gov/nuccore/NR_198015
NR_198028,Rhytisma arcticum,holotype,high,GenBank /type_material qualifier,holotype of Rhytisma arcticum,TNS:F-99465,LC744039,no,1,NR_198028.1 Rhytisma arcticum HOLOTYPE Ellesemere Isl Canada (Xyloma Wang) Canada: Ellesemere Island,https://www.ncbi.nlm.nih.gov/nuccore/NR_198028
NR_198054,Gelacantha pura,holotype,high,GenBank /type_material qualifier,holotype of Gelacantha pura,LE<RUS>:254018,MK098882,yes,1,NR_198054 Gelacantha pura LE:254018 Russia,https://www.ncbi.nlm.nih.gov/nuccore/NR_198054
NR_198055,Leucoagaricus changamangaensis,holotype,high,GenBank /type_material qualifier,holotype of Leucoagaricus changamangaensis,LAH:02920,MK106152,yes,1,NR_198055 Leucoagaricus changamangaensis LAH:02920 Pakistan,https://www.ncbi.nlm.nih.gov/nuccore/NR_198055
NR_198061,Entoloma edulis,holotype,high,GenBank /type_material qualifier,holotype of Nolanea edulis var. concentrica,MICH:9131,MK169373,yes,1,NR_198061 Nolanea edulis var. concentrica MICH:9131 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_198061
NR_198062,Xeromphalina brunneola,holotype,high,GenBank /type_material qualifier,holotype of Xeromphalina brunneola,MICH:5849,MK169375,yes,1,NR_198062 Xeromphalina brunneola MICH:5849 Idaho US,https://www.ncbi.nlm.nih.gov/nuccore/NR_198062
NR_198076,Boletus candidissimus,holotype,high,GenBank /type_material qualifier,holotype of Boletus candidissimus,LE<RUS>:315543,MN511176,yes,1,NR_198076 Boletus candidissimus LE:315543 Vietnam,https://www.ncbi.nlm.nih.gov/nuccore/NR_198076
NR_198077,Veloporphyrellus vulpinus,holotype,high,GenBank /type_material qualifier,holotype of Veloporphyrellus vulpinus,LE<RUS>:315544,MN511177,yes,1,NR_198077 Veloporphyrellus vulpinus LE:315544 Vietnam,https://www.ncbi.nlm.nih.gov/nuccore/NR_198077
NR_198083,Metarhizium eburneum,ex-holotype,high,GenBank /type_material qualifier,culture from holotype of Metarhizium eburneum,BCC<THA>:79252,MN781914,yes,1,NR_198083 Metarhizium eburneum Thailand,https://www.ncbi.nlm.nih.gov/nuccore/NR_198083
NR_198088,Tricholoma mutabile,holotype,high,GenBank /type_material qualifier,holotype of Tricholoma mutabile,SFSU:F-000788,MN809564,yes,1,NR_198088 Tricholoma mutabile SFSU:F-000788 California US,https://www.ncbi.nlm.nih.gov/nuccore/NR_198088
